CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4819066,Fairview No. 136,2001,Daily Vehicles (per km of road),,1697.19440
4819066,Fairview No. 136,2002,Daily Vehicles (per km of road),,1377.58893
4819066,Fairview No. 136,2003,Daily Vehicles (per km of road),,1384.95572
4819066,Fairview No. 136,2004,Daily Vehicles (per km of road),,1458.86874
4819066,Fairview No. 136,2005,Daily Vehicles (per km of road),,1543.55951
4819066,Fairview No. 136,2006,Daily Vehicles (per km of road),,1615.39581
4819066,Fairview No. 136,2007,Daily Vehicles (per km of road),,1558.19040
4819066,Fairview No. 136,2008,Daily Vehicles (per km of road),,1547.13940
4819066,Fairview No. 136,2009,Daily Vehicles (per km of road),,1425.57845
4819066,Fairview No. 136,2010,Daily Vehicles (per km of road),,1486.35893
4819066,Fairview No. 136,2011,Daily Vehicles (per km of road),,1510.30275
4819066,Fairview No. 136,2012,Daily Vehicles (per km of road),,1541.60354
4819066,Fairview No. 136,2013,Daily Vehicles (per km of road),,1534.23626
4819012,Grande Prairie,2013,Daily Vehicles (per km of road),,16800.96359
4819012,Grande Prairie,2000,Daily Vehicles (per km of road),,19402.85918
4819012,Grande Prairie,2001,Daily Vehicles (per km of road),,19916.23721
4819012,Grande Prairie,2002,Daily Vehicles (per km of road),,20105.85856
4819012,Grande Prairie,2003,Daily Vehicles (per km of road),,21178.63242
4819012,Grande Prairie,2004,Daily Vehicles (per km of road),,22592.47826
4819012,Grande Prairie,2005,Daily Vehicles (per km of road),,24119.25054
4819012,Grande Prairie,2006,Daily Vehicles (per km of road),,26086.05638
4819012,Grande Prairie,2007,Daily Vehicles (per km of road),,26396.60467
4819012,Grande Prairie,2008,Daily Vehicles (per km of road),,24395.29347
4819012,Grande Prairie,2009,Daily Vehicles (per km of road),,21979.91788
4819012,Grande Prairie,2010,Daily Vehicles (per km of road),,15386.84562
4819012,Grande Prairie,2011,Daily Vehicles (per km of road),,16345.66982
4819012,Grande Prairie,2012,Daily Vehicles (per km of road),,16846.80524
4811032,Brazeau County,2000,Daily Vehicles (per km of road),,3598.54077
4811032,Brazeau County,2001,Daily Vehicles (per km of road),,3748.48430
4811032,Brazeau County,2002,Daily Vehicles (per km of road),,1726.34379
4811032,Brazeau County,2003,Daily Vehicles (per km of road),,1732.48736
4811032,Brazeau County,2004,Daily Vehicles (per km of road),,1822.06911
4811032,Brazeau County,2005,Daily Vehicles (per km of road),,1948.52264
4811032,Brazeau County,2006,Daily Vehicles (per km of road),,2094.81720
4811032,Brazeau County,2007,Daily Vehicles (per km of road),,2079.20863
4811032,Brazeau County,2008,Daily Vehicles (per km of road),,2062.01403
4811032,Brazeau County,2009,Daily Vehicles (per km of road),,1921.91625
4811032,Brazeau County,2010,Daily Vehicles (per km of road),,2047.25862
4811032,Brazeau County,2011,Daily Vehicles (per km of road),,2195.95892
4811032,Brazeau County,2012,Daily Vehicles (per km of road),,2344.86039
4811032,Brazeau County,2013,Daily Vehicles (per km of road),,2307.99151
4811034,Parkland County,2013,Daily Vehicles (per km of road),,8956.01701
4811034,Parkland County,2000,Daily Vehicles (per km of road),,10792.56781
4811034,Parkland County,2001,Daily Vehicles (per km of road),,11299.69565
4811034,Parkland County,2002,Daily Vehicles (per km of road),,6467.41478
4811034,Parkland County,2003,Daily Vehicles (per km of road),,6543.10677
4811034,Parkland County,2004,Daily Vehicles (per km of road),,6788.31627
4811034,Parkland County,2005,Daily Vehicles (per km of road),,7066.12238
4811034,Parkland County,2006,Daily Vehicles (per km of road),,7807.41940
4811034,Parkland County,2007,Daily Vehicles (per km of road),,7886.69586
4811034,Parkland County,2008,Daily Vehicles (per km of road),,8044.56133
4811034,Parkland County,2009,Daily Vehicles (per km of road),,8008.74926
4811034,Parkland County,2010,Daily Vehicles (per km of road),,8232.39201
4811034,Parkland County,2011,Daily Vehicles (per km of road),,8289.42110
4811034,Parkland County,2012,Daily Vehicles (per km of road),,8716.85935
4811052,Strathcona County,2000,Daily Vehicles (per km of road),,11140.31897
4811052,Strathcona County,2001,Daily Vehicles (per km of road),,11699.87146
4811052,Strathcona County,2002,Daily Vehicles (per km of road),,7799.41931
4811052,Strathcona County,2003,Daily Vehicles (per km of road),,7819.83664
4811052,Strathcona County,2004,Daily Vehicles (per km of road),,7961.57129
4811052,Strathcona County,2005,Daily Vehicles (per km of road),,8095.06027
4811052,Strathcona County,2006,Daily Vehicles (per km of road),,8525.32799
4811052,Strathcona County,2007,Daily Vehicles (per km of road),,11036.09751
4811052,Strathcona County,2008,Daily Vehicles (per km of road),,13331.99784
4811052,Strathcona County,2009,Daily Vehicles (per km of road),,13993.90972
4811052,Strathcona County,2010,Daily Vehicles (per km of road),,14665.82970
4811052,Strathcona County,2011,Daily Vehicles (per km of road),,14903.63382
4811052,Strathcona County,2012,Daily Vehicles (per km of road),,17689.45935
4811052,Strathcona County,2013,Daily Vehicles (per km of road),,18810.69162
4811059,Sturgeon County,2013,Daily Vehicles (per km of road),,4740.02897
4811059,Sturgeon County,2000,Daily Vehicles (per km of road),,5028.52261
4811059,Sturgeon County,2001,Daily Vehicles (per km of road),,5153.50425
4811059,Sturgeon County,2002,Daily Vehicles (per km of road),,3718.76839
4811059,Sturgeon County,2003,Daily Vehicles (per km of road),,3739.12563
4811059,Sturgeon County,2004,Daily Vehicles (per km of road),,3774.46326
4811059,Sturgeon County,2005,Daily Vehicles (per km of road),,3932.43118
4811059,Sturgeon County,2006,Daily Vehicles (per km of road),,4102.61026
4811059,Sturgeon County,2007,Daily Vehicles (per km of road),,4263.06394
4811059,Sturgeon County,2008,Daily Vehicles (per km of road),,4463.21859
4811059,Sturgeon County,2009,Daily Vehicles (per km of road),,4363.52471
4811059,Sturgeon County,2010,Daily Vehicles (per km of road),,4538.10354
4811059,Sturgeon County,2011,Daily Vehicles (per km of road),,4566.49061
4811059,Sturgeon County,2012,Daily Vehicles (per km of road),,4537.03479
4817095,Mackenzie County,2000,Daily Vehicles (per km of road),,784.61222
4817095,Mackenzie County,2001,Daily Vehicles (per km of road),,802.96208
4817095,Mackenzie County,2002,Daily Vehicles (per km of road),,733.04769
4817095,Mackenzie County,2003,Daily Vehicles (per km of road),,758.89823
4817095,Mackenzie County,2004,Daily Vehicles (per km of road),,759.34634
4817095,Mackenzie County,2005,Daily Vehicles (per km of road),,875.91193
4817095,Mackenzie County,2006,Daily Vehicles (per km of road),,890.52658
4817095,Mackenzie County,2007,Daily Vehicles (per km of road),,783.42428
4817095,Mackenzie County,2008,Daily Vehicles (per km of road),,716.99399
4817095,Mackenzie County,2009,Daily Vehicles (per km of road),,679.31854
4817095,Mackenzie County,2010,Daily Vehicles (per km of road),,708.86923
4817095,Mackenzie County,2011,Daily Vehicles (per km of road),,729.29252
4817095,Mackenzie County,2012,Daily Vehicles (per km of road),,795.56644
4817095,Mackenzie County,2013,Daily Vehicles (per km of road),,716.21613
4817062,Clear Hills,2013,Daily Vehicles (per km of road),,447.03090
4817062,Clear Hills,2000,Daily Vehicles (per km of road),,505.26304
4817062,Clear Hills,2001,Daily Vehicles (per km of road),,525.40048
4817062,Clear Hills,2002,Daily Vehicles (per km of road),,398.82288
4817062,Clear Hills,2003,Daily Vehicles (per km of road),,463.14915
4817062,Clear Hills,2004,Daily Vehicles (per km of road),,430.39939
4817062,Clear Hills,2005,Daily Vehicles (per km of road),,518.37325
4817062,Clear Hills,2006,Daily Vehicles (per km of road),,537.68703
4817062,Clear Hills,2007,Daily Vehicles (per km of road),,765.30948
4817062,Clear Hills,2008,Daily Vehicles (per km of road),,561.34365
4817062,Clear Hills,2009,Daily Vehicles (per km of road),,466.92495
4817062,Clear Hills,2010,Daily Vehicles (per km of road),,472.77816
4817062,Clear Hills,2011,Daily Vehicles (per km of road),,484.26948
4817062,Clear Hills,2012,Daily Vehicles (per km of road),,449.38504
4818015,Greenview No. 16,2000,Daily Vehicles (per km of road),,2104.37016
4818015,Greenview No. 16,2001,Daily Vehicles (per km of road),,2216.29545
4818015,Greenview No. 16,2002,Daily Vehicles (per km of road),,1757.82515
4818015,Greenview No. 16,2003,Daily Vehicles (per km of road),,1811.72849
4818015,Greenview No. 16,2004,Daily Vehicles (per km of road),,1964.81934
4818015,Greenview No. 16,2005,Daily Vehicles (per km of road),,2376.65244
4818015,Greenview No. 16,2006,Daily Vehicles (per km of road),,2745.87596
4818015,Greenview No. 16,2007,Daily Vehicles (per km of road),,2787.59422
4818015,Greenview No. 16,2008,Daily Vehicles (per km of road),,2489.84402
4818015,Greenview No. 16,2009,Daily Vehicles (per km of road),,2166.67658
4818015,Greenview No. 16,2010,Daily Vehicles (per km of road),,2348.86419
4818015,Greenview No. 16,2011,Daily Vehicles (per km of road),,2445.49481
4818015,Greenview No. 16,2012,Daily Vehicles (per km of road),,2856.28173
4818015,Greenview No. 16,2013,Daily Vehicles (per km of road),,2828.48184
4819006,Grande Prairie County No. 1,2013,Daily Vehicles (per km of road),,2941.83894
4819006,Grande Prairie County No. 1,2000,Daily Vehicles (per km of road),,3725.27255
4819006,Grande Prairie County No. 1,2001,Daily Vehicles (per km of road),,3964.52028
4819006,Grande Prairie County No. 1,2002,Daily Vehicles (per km of road),,2224.90440
4819006,Grande Prairie County No. 1,2003,Daily Vehicles (per km of road),,2326.98335
4819006,Grande Prairie County No. 1,2004,Daily Vehicles (per km of road),,2437.42397
4819006,Grande Prairie County No. 1,2005,Daily Vehicles (per km of road),,2625.63828
4819006,Grande Prairie County No. 1,2006,Daily Vehicles (per km of road),,2875.77701
4819006,Grande Prairie County No. 1,2007,Daily Vehicles (per km of road),,2831.93185
4819006,Grande Prairie County No. 1,2008,Daily Vehicles (per km of road),,2747.58371
4819006,Grande Prairie County No. 1,2009,Daily Vehicles (per km of road),,2630.33374
4819006,Grande Prairie County No. 1,2010,Daily Vehicles (per km of road),,2763.76694
4819006,Grande Prairie County No. 1,2011,Daily Vehicles (per km of road),,2799.71714
4819006,Grande Prairie County No. 1,2012,Daily Vehicles (per km of road),,2908.44307
4812004,Bonnyville No. 87,2000,Daily Vehicles (per km of road),,2288.69523
4812004,Bonnyville No. 87,2001,Daily Vehicles (per km of road),,1949.91618
4812004,Bonnyville No. 87,2002,Daily Vehicles (per km of road),,1283.34315
4812004,Bonnyville No. 87,2003,Daily Vehicles (per km of road),,1240.92799
4812004,Bonnyville No. 87,2004,Daily Vehicles (per km of road),,1284.11133
4812004,Bonnyville No. 87,2005,Daily Vehicles (per km of road),,1315.02915
4812004,Bonnyville No. 87,2006,Daily Vehicles (per km of road),,1370.39535
4812004,Bonnyville No. 87,2007,Daily Vehicles (per km of road),,1513.47107
4812004,Bonnyville No. 87,2008,Daily Vehicles (per km of road),,1609.83877
4812004,Bonnyville No. 87,2009,Daily Vehicles (per km of road),,1633.91629
4812004,Bonnyville No. 87,2010,Daily Vehicles (per km of road),,1637.21676
4812004,Bonnyville No. 87,2011,Daily Vehicles (per km of road),,1684.89907
4812004,Bonnyville No. 87,2012,Daily Vehicles (per km of road),,1805.15271
4812004,Bonnyville No. 87,2013,Daily Vehicles (per km of road),,2016.32345
4812014,St. Paul County No. 19,2013,Daily Vehicles (per km of road),,1656.58981
4812014,St. Paul County No. 19,2000,Daily Vehicles (per km of road),,1917.94068
4812014,St. Paul County No. 19,2001,Daily Vehicles (per km of road),,2069.74879
4812014,St. Paul County No. 19,2002,Daily Vehicles (per km of road),,1140.07514
4812014,St. Paul County No. 19,2003,Daily Vehicles (per km of road),,1145.92077
4812014,St. Paul County No. 19,2004,Daily Vehicles (per km of road),,1201.18248
4812014,St. Paul County No. 19,2005,Daily Vehicles (per km of road),,1218.94446
4812014,St. Paul County No. 19,2006,Daily Vehicles (per km of road),,1257.70064
4812014,St. Paul County No. 19,2007,Daily Vehicles (per km of road),,1379.08158
4812014,St. Paul County No. 19,2008,Daily Vehicles (per km of road),,1393.88566
4812014,St. Paul County No. 19,2009,Daily Vehicles (per km of road),,1378.41837
4812014,St. Paul County No. 19,2010,Daily Vehicles (per km of road),,1403.33360
4812014,St. Paul County No. 19,2011,Daily Vehicles (per km of road),,1451.12964
4812014,St. Paul County No. 19,2012,Daily Vehicles (per km of road),,1530.61084
4812022,Smoky Lake County,2000,Daily Vehicles (per km of road),,1740.34891
4812022,Smoky Lake County,2001,Daily Vehicles (per km of road),,1835.30457
4812022,Smoky Lake County,2002,Daily Vehicles (per km of road),,1139.95012
4812022,Smoky Lake County,2003,Daily Vehicles (per km of road),,1145.24729
4812022,Smoky Lake County,2004,Daily Vehicles (per km of road),,1174.79784
4812022,Smoky Lake County,2005,Daily Vehicles (per km of road),,1223.47029
4812022,Smoky Lake County,2006,Daily Vehicles (per km of road),,1289.19560
4812022,Smoky Lake County,2007,Daily Vehicles (per km of road),,1326.37959
4812022,Smoky Lake County,2008,Daily Vehicles (per km of road),,1341.21131
4812022,Smoky Lake County,2009,Daily Vehicles (per km of road),,1405.83523
4812022,Smoky Lake County,2010,Daily Vehicles (per km of road),,1448.21158
4812022,Smoky Lake County,2011,Daily Vehicles (per km of road),,1529.78604
4812022,Smoky Lake County,2012,Daily Vehicles (per km of road),,1641.15683
4812022,Smoky Lake County,2013,Daily Vehicles (per km of road),,1706.80310
4819071,Peace No. 135,2013,Daily Vehicles (per km of road),,2102.23465
4819071,Peace No. 135,2000,Daily Vehicles (per km of road),,2576.75861
4819071,Peace No. 135,2001,Daily Vehicles (per km of road),,2629.75282
4819071,Peace No. 135,2002,Daily Vehicles (per km of road),,1674.12869
4819071,Peace No. 135,2003,Daily Vehicles (per km of road),,1661.50056
4819071,Peace No. 135,2004,Daily Vehicles (per km of road),,1710.07630
4819071,Peace No. 135,2005,Daily Vehicles (per km of road),,1744.19914
4819071,Peace No. 135,2006,Daily Vehicles (per km of road),,1829.00679
4819071,Peace No. 135,2007,Daily Vehicles (per km of road),,1886.49634
4819071,Peace No. 135,2008,Daily Vehicles (per km of road),,1944.15430
4819071,Peace No. 135,2009,Daily Vehicles (per km of road),,1909.91989
4819071,Peace No. 135,2010,Daily Vehicles (per km of road),,1951.37438
4819071,Peace No. 135,2011,Daily Vehicles (per km of road),,2045.19024
4819071,Peace No. 135,2012,Daily Vehicles (per km of road),,2066.14478
4815013,Kananaskis,2000,Daily Vehicles (per km of road),,2579.35882
4815013,Kananaskis,2001,Daily Vehicles (per km of road),,2590.80639
4815013,Kananaskis,2002,Daily Vehicles (per km of road),,2659.76923
4815013,Kananaskis,2003,Daily Vehicles (per km of road),,2652.32723
4815013,Kananaskis,2004,Daily Vehicles (per km of road),,2713.29263
4815013,Kananaskis,2005,Daily Vehicles (per km of road),,2688.07802
4815013,Kananaskis,2006,Daily Vehicles (per km of road),,2824.04588
4815013,Kananaskis,2007,Daily Vehicles (per km of road),,2867.19494
4815013,Kananaskis,2008,Daily Vehicles (per km of road),,2868.68284
4815013,Kananaskis,2009,Daily Vehicles (per km of road),,2858.85749
4815013,Kananaskis,2010,Daily Vehicles (per km of road),,2927.07680
4815013,Kananaskis,2011,Daily Vehicles (per km of road),,3010.40995
4815013,Kananaskis,2012,Daily Vehicles (per km of road),,3154.42933
4815013,Kananaskis,2013,Daily Vehicles (per km of road),,3169.30871
4815015,Bighorn No. 8,2013,Daily Vehicles (per km of road),,4091.93448
4815015,Bighorn No. 8,2000,Daily Vehicles (per km of road),,4284.58447
4815015,Bighorn No. 8,2001,Daily Vehicles (per km of road),,4347.29868
4815015,Bighorn No. 8,2002,Daily Vehicles (per km of road),,3472.62239
4815015,Bighorn No. 8,2003,Daily Vehicles (per km of road),,3459.60724
4815015,Bighorn No. 8,2004,Daily Vehicles (per km of road),,3536.55799
4815015,Bighorn No. 8,2005,Daily Vehicles (per km of road),,3565.59346
4815015,Bighorn No. 8,2006,Daily Vehicles (per km of road),,3680.02504
4815015,Bighorn No. 8,2007,Daily Vehicles (per km of road),,3688.64148
4815015,Bighorn No. 8,2008,Daily Vehicles (per km of road),,3772.95967
4815015,Bighorn No. 8,2009,Daily Vehicles (per km of road),,3681.08160
4815015,Bighorn No. 8,2010,Daily Vehicles (per km of road),,3781.41313
4815015,Bighorn No. 8,2011,Daily Vehicles (per km of road),,3901.74866
4815015,Bighorn No. 8,2012,Daily Vehicles (per km of road),,4076.24154
4815045,Ranchland No. 66,2000,Daily Vehicles (per km of road),,2699.62231
4815045,Ranchland No. 66,2001,Daily Vehicles (per km of road),,3271.97875
4815045,Ranchland No. 66,2002,Daily Vehicles (per km of road),,2446.16367
4815045,Ranchland No. 66,2003,Daily Vehicles (per km of road),,2543.99724
4815045,Ranchland No. 66,2004,Daily Vehicles (per km of road),,2528.26495
4815045,Ranchland No. 66,2005,Daily Vehicles (per km of road),,2539.60177
4815045,Ranchland No. 66,2006,Daily Vehicles (per km of road),,2721.77774
4815045,Ranchland No. 66,2007,Daily Vehicles (per km of road),,2780.73275
4815045,Ranchland No. 66,2008,Daily Vehicles (per km of road),,2844.34428
4815045,Ranchland No. 66,2009,Daily Vehicles (per km of road),,2719.39306
4815045,Ranchland No. 66,2010,Daily Vehicles (per km of road),,2817.08220
4815045,Ranchland No. 66,2011,Daily Vehicles (per km of road),,2726.20858
4815045,Ranchland No. 66,2012,Daily Vehicles (per km of road),,2872.91662
4815045,Ranchland No. 66,2013,Daily Vehicles (per km of road),,2922.91992
4816037,Wood Buffalo,2013,Daily Vehicles (per km of road),,7053.14716
4816037,Wood Buffalo,2000,Daily Vehicles (per km of road),,4308.91053
4816037,Wood Buffalo,2001,Daily Vehicles (per km of road),,5124.13179
4816037,Wood Buffalo,2002,Daily Vehicles (per km of road),,2915.05680
4816037,Wood Buffalo,2003,Daily Vehicles (per km of road),,3014.82321
4816037,Wood Buffalo,2004,Daily Vehicles (per km of road),,3314.71656
4816037,Wood Buffalo,2005,Daily Vehicles (per km of road),,4312.07516
4816037,Wood Buffalo,2006,Daily Vehicles (per km of road),,4923.82520
4816037,Wood Buffalo,2007,Daily Vehicles (per km of road),,5232.66017
4816037,Wood Buffalo,2008,Daily Vehicles (per km of road),,5594.84189
4816037,Wood Buffalo,2009,Daily Vehicles (per km of road),,5276.28913
4816037,Wood Buffalo,2010,Daily Vehicles (per km of road),,5592.74825
4816037,Wood Buffalo,2011,Daily Vehicles (per km of road),,6440.94228
4816037,Wood Buffalo,2012,Daily Vehicles (per km of road),,6969.30547
4811012,Leduc County,2000,Daily Vehicles (per km of road),,10081.72982
4811012,Leduc County,2001,Daily Vehicles (per km of road),,10560.21344
4811012,Leduc County,2002,Daily Vehicles (per km of road),,5625.90778
4811012,Leduc County,2003,Daily Vehicles (per km of road),,5721.49004
4811012,Leduc County,2004,Daily Vehicles (per km of road),,6033.95138
4811012,Leduc County,2005,Daily Vehicles (per km of road),,6027.30680
4811012,Leduc County,2006,Daily Vehicles (per km of road),,7260.00327
4811012,Leduc County,2007,Daily Vehicles (per km of road),,7700.59659
4811012,Leduc County,2008,Daily Vehicles (per km of road),,7707.27084
4811012,Leduc County,2009,Daily Vehicles (per km of road),,7701.08803
4811012,Leduc County,2010,Daily Vehicles (per km of road),,7954.21794
4811012,Leduc County,2011,Daily Vehicles (per km of road),,8241.95209
4811012,Leduc County,2012,Daily Vehicles (per km of road),,8760.49477
4811012,Leduc County,2013,Daily Vehicles (per km of road),,8925.46464
4811001,Wetaskiwin County No. 10,2013,Daily Vehicles (per km of road),,3102.70148
4811001,Wetaskiwin County No. 10,2000,Daily Vehicles (per km of road),,4236.28144
4811001,Wetaskiwin County No. 10,2001,Daily Vehicles (per km of road),,4305.55089
4811001,Wetaskiwin County No. 10,2002,Daily Vehicles (per km of road),,2400.70030
4811001,Wetaskiwin County No. 10,2003,Daily Vehicles (per km of road),,2439.54841
4811001,Wetaskiwin County No. 10,2004,Daily Vehicles (per km of road),,2539.43245
4811001,Wetaskiwin County No. 10,2005,Daily Vehicles (per km of road),,2683.67674
4811001,Wetaskiwin County No. 10,2006,Daily Vehicles (per km of road),,2816.82663
4811001,Wetaskiwin County No. 10,2007,Daily Vehicles (per km of road),,2907.78933
4811001,Wetaskiwin County No. 10,2008,Daily Vehicles (per km of road),,2885.16297
4811001,Wetaskiwin County No. 10,2009,Daily Vehicles (per km of road),,2826.10392
4811001,Wetaskiwin County No. 10,2010,Daily Vehicles (per km of road),,2906.99833
4811001,Wetaskiwin County No. 10,2011,Daily Vehicles (per km of road),,2953.80152
4811001,Wetaskiwin County No. 10,2012,Daily Vehicles (per km of road),,3055.48228
4817076,Northern Lights County,2000,Daily Vehicles (per km of road),,1417.56278
4817076,Northern Lights County,2001,Daily Vehicles (per km of road),,1458.09449
4817076,Northern Lights County,2002,Daily Vehicles (per km of road),,781.70934
4817076,Northern Lights County,2003,Daily Vehicles (per km of road),,781.70934
4817076,Northern Lights County,2004,Daily Vehicles (per km of road),,772.31829
4817076,Northern Lights County,2005,Daily Vehicles (per km of road),,902.88014
4817076,Northern Lights County,2006,Daily Vehicles (per km of road),,866.11465
4817076,Northern Lights County,2007,Daily Vehicles (per km of road),,853.09055
4817076,Northern Lights County,2008,Daily Vehicles (per km of road),,858.51209
4817076,Northern Lights County,2009,Daily Vehicles (per km of road),,815.72190
4817076,Northern Lights County,2010,Daily Vehicles (per km of road),,809.21572
4817076,Northern Lights County,2011,Daily Vehicles (per km of road),,826.82509
4817076,Northern Lights County,2012,Daily Vehicles (per km of road),,828.11563
4817076,Northern Lights County,2013,Daily Vehicles (per km of road),,841.68106
4813036,Thorhild County,2013,Daily Vehicles (per km of road),,2052.22923
4813036,Thorhild County,2000,Daily Vehicles (per km of road),,1782.84153
4813036,Thorhild County,2001,Daily Vehicles (per km of road),,1892.55040
4813036,Thorhild County,2002,Daily Vehicles (per km of road),,1281.89485
4813036,Thorhild County,2003,Daily Vehicles (per km of road),,1278.15391
4813036,Thorhild County,2004,Daily Vehicles (per km of road),,1329.26797
4813036,Thorhild County,2005,Daily Vehicles (per km of road),,1402.71778
4813036,Thorhild County,2006,Daily Vehicles (per km of road),,1488.54791
4813036,Thorhild County,2007,Daily Vehicles (per km of road),,1611.86753
4813036,Thorhild County,2008,Daily Vehicles (per km of road),,1641.78619
4813036,Thorhild County,2009,Daily Vehicles (per km of road),,1578.20905
4813036,Thorhild County,2010,Daily Vehicles (per km of road),,1664.22518
4813036,Thorhild County,2011,Daily Vehicles (per km of road),,1760.20619
4813036,Thorhild County,2012,Daily Vehicles (per km of road),,1888.89872
4813044,Athabasca County,2000,Daily Vehicles (per km of road),,2117.83789
4813044,Athabasca County,2001,Daily Vehicles (per km of road),,2236.83956
4813044,Athabasca County,2002,Daily Vehicles (per km of road),,1388.32077
4813044,Athabasca County,2003,Daily Vehicles (per km of road),,1445.05929
4813044,Athabasca County,2004,Daily Vehicles (per km of road),,1504.90228
4813044,Athabasca County,2005,Daily Vehicles (per km of road),,1694.70900
4813044,Athabasca County,2006,Daily Vehicles (per km of road),,1745.66193
4813044,Athabasca County,2007,Daily Vehicles (per km of road),,1849.65269
4813044,Athabasca County,2008,Daily Vehicles (per km of road),,1895.51185
4813044,Athabasca County,2009,Daily Vehicles (per km of road),,1792.62271
4813044,Athabasca County,2010,Daily Vehicles (per km of road),,1900.21535
4813044,Athabasca County,2011,Daily Vehicles (per km of road),,2040.23700
4813044,Athabasca County,2012,Daily Vehicles (per km of road),,2136.01850
4813044,Athabasca County,2013,Daily Vehicles (per km of road),,2122.22494
4817033,Lesser Slave River No.124,2013,Daily Vehicles (per km of road),,1885.02393
4817033,Lesser Slave River No.124,2000,Daily Vehicles (per km of road),,1738.64343
4817033,Lesser Slave River No.124,2001,Daily Vehicles (per km of road),,1764.91955
4817033,Lesser Slave River No.124,2002,Daily Vehicles (per km of road),,1518.93340
4817033,Lesser Slave River No.124,2003,Daily Vehicles (per km of road),,1488.88256
4817033,Lesser Slave River No.124,2004,Daily Vehicles (per km of road),,1532.37895
4817033,Lesser Slave River No.124,2005,Daily Vehicles (per km of road),,1719.38298
4817033,Lesser Slave River No.124,2006,Daily Vehicles (per km of road),,1842.94073
4817033,Lesser Slave River No.124,2007,Daily Vehicles (per km of road),,1612.49262
4817033,Lesser Slave River No.124,2008,Daily Vehicles (per km of road),,1579.71468
4817033,Lesser Slave River No.124,2009,Daily Vehicles (per km of road),,1560.63052
4817033,Lesser Slave River No.124,2010,Daily Vehicles (per km of road),,1676.26093
4817033,Lesser Slave River No.124,2011,Daily Vehicles (per km of road),,1831.04874
4817033,Lesser Slave River No.124,2012,Daily Vehicles (per km of road),,1902.32811
4810058,Lamont County,2000,Daily Vehicles (per km of road),,2676.52962
4810058,Lamont County,2001,Daily Vehicles (per km of road),,2825.57099
4810058,Lamont County,2002,Daily Vehicles (per km of road),,1897.78470
4810058,Lamont County,2003,Daily Vehicles (per km of road),,1892.27704
4810058,Lamont County,2004,Daily Vehicles (per km of road),,1925.31751
4810058,Lamont County,2005,Daily Vehicles (per km of road),,2007.01866
4810058,Lamont County,2006,Daily Vehicles (per km of road),,2038.48897
4810058,Lamont County,2007,Daily Vehicles (per km of road),,2147.11085
4810058,Lamont County,2008,Daily Vehicles (per km of road),,2259.61977
4810058,Lamont County,2009,Daily Vehicles (per km of road),,2230.51547
4810058,Lamont County,2010,Daily Vehicles (per km of road),,2298.97176
4810058,Lamont County,2011,Daily Vehicles (per km of road),,2398.62420
4810058,Lamont County,2012,Daily Vehicles (per km of road),,2509.37948
4810058,Lamont County,2013,Daily Vehicles (per km of road),,2544.80045
4810048,Two Hills County No. 21,2013,Daily Vehicles (per km of road),,839.10857
4810048,Two Hills County No. 21,2000,Daily Vehicles (per km of road),,798.79734
4810048,Two Hills County No. 21,2001,Daily Vehicles (per km of road),,833.66474
4810048,Two Hills County No. 21,2002,Daily Vehicles (per km of road),,597.61947
4810048,Two Hills County No. 21,2003,Daily Vehicles (per km of road),,602.69121
4810048,Two Hills County No. 21,2004,Daily Vehicles (per km of road),,607.47243
4810048,Two Hills County No. 21,2005,Daily Vehicles (per km of road),,612.62636
4810048,Two Hills County No. 21,2006,Daily Vehicles (per km of road),,661.86826
4810048,Two Hills County No. 21,2007,Daily Vehicles (per km of road),,693.14627
4810048,Two Hills County No. 21,2008,Daily Vehicles (per km of road),,706.21397
4810048,Two Hills County No. 21,2009,Daily Vehicles (per km of road),,699.67495
4810048,Two Hills County No. 21,2010,Daily Vehicles (per km of road),,702.94446
4810048,Two Hills County No. 21,2011,Daily Vehicles (per km of road),,721.74629
4810048,Two Hills County No. 21,2012,Daily Vehicles (per km of road),,783.05969
4814003,Yellowhead County,2000,Daily Vehicles (per km of road),,2690.80999
4814003,Yellowhead County,2001,Daily Vehicles (per km of road),,2949.29342
4814003,Yellowhead County,2002,Daily Vehicles (per km of road),,2394.82375
4814003,Yellowhead County,2003,Daily Vehicles (per km of road),,2389.38952
4814003,Yellowhead County,2004,Daily Vehicles (per km of road),,2512.83478
4814003,Yellowhead County,2005,Daily Vehicles (per km of road),,2998.90993
4814003,Yellowhead County,2006,Daily Vehicles (per km of road),,3270.65918
4814003,Yellowhead County,2007,Daily Vehicles (per km of road),,2966.21577
4814003,Yellowhead County,2008,Daily Vehicles (per km of road),,2788.64235
4814003,Yellowhead County,2009,Daily Vehicles (per km of road),,2676.00019
4814003,Yellowhead County,2010,Daily Vehicles (per km of road),,2745.37643
4814003,Yellowhead County,2011,Daily Vehicles (per km of road),,2786.16294
4814003,Yellowhead County,2012,Daily Vehicles (per km of road),,2921.68495
4814003,Yellowhead County,2013,Daily Vehicles (per km of road),,3025.82072
